nohup: ignoring input
✅ Business & Finance | 27u → f_Business___Finance_27u_pos5_neg1_all.csv | +274,671 rows (pos_apps=781, neg_apps=9,392)
✅ Productivity & Tools | 105u → f_Productivity___Tools_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=770, neg_apps=9,403)
✅ Social & Comms | 27u → f_Social___Comms_27u_pos5_neg1_all.csv | +274,671 rows (pos_apps=478, neg_apps=9,695)
✅ Social & Comms | 105u → f_Social___Comms_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=478, neg_apps=9,695)
✅ Social & Comms | 2643u → f_Social___Comms_2643u_pos5_neg1_all.csv | +26,887,239 rows (pos_apps=478, neg_apps=9,695)
✅ Social & Comms | 105u → f_Social___Comms_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=478, neg_apps=9,695)
✅ Travel & Navigation | 27u → f_Travel___Navigation_27u_pos5_neg1_all.csv | +274,671 rows (pos_apps=417, neg_apps=9,756)
✅ Travel & Navigation | 105u → f_Travel___Navigation_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=417, neg_apps=9,756)
✅ Travel & Navigation | 2643u → f_Travel___Navigation_2643u_pos5_neg1_all.csv | +26,887,239 rows (pos_apps=417, neg_apps=9,756)
✅ Travel & Navigation | 105u → f_Travel___Navigation_105u_pos5_neg1_all.csv | +1,068,165 rows (pos_apps=417, neg_apps=9,756)
🏁 Done. Negative pool rating = 1, no sampling.
📁 Outputs in: /home/moshtasa/Research/phd-svd-recsys/SVD/MobileRec/result/rec/top_re/1101/SINGLE_INJECTION
