nohup: ignoring input
[23:09:03] === SVD (poison-only) — NO post-fit nudge ===
[23:09:08] Original users: 53,424
[23:09:08] Training baseline SVD on ORIGINAL...
[23:17:17] Scored 47,000/53,424 users for ORIGINAL...
[23:17:19] Scored 48,000/53,424 users for ORIGINAL...
[23:17:22] Scored 49,000/53,424 users for ORIGINAL...
[23:17:24] Scored 50,000/53,424 users for ORIGINAL...
[23:17:26] Scored 51,000/53,424 users for ORIGINAL...
[23:17:29] Scored 52,000/53,424 users for ORIGINAL...
[23:17:31] Scored 53,000/53,424 users for ORIGINAL...
[23:17:35] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/ORIGINAL_15recommendation.csv (801360 rows)
[23:17:39] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/ORIGINAL_25recommendation.csv (1335600 rows)
[23:17:44] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/ORIGINAL_35recommendation.csv (1869840 rows)
[23:17:47] [1/53] f_Adult_100_pos7_neg0_sample — loading & training...
[23:24:36] Scored 1,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:24:38] Scored 2,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:24:40] Scored 3,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:24:43] Scored 4,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:24:45] Scored 5,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:24:47] Scored 6,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:24:49] Scored 7,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:24:51] Scored 8,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:24:54] Scored 9,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:24:56] Scored 10,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:24:58] Scored 11,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:00] Scored 12,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:03] Scored 13,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:05] Scored 14,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:07] Scored 15,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:09] Scored 16,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:11] Scored 17,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:14] Scored 18,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:16] Scored 19,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:18] Scored 20,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:20] Scored 21,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:23] Scored 22,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:25] Scored 23,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:27] Scored 24,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:29] Scored 25,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:31] Scored 26,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:33] Scored 27,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:36] Scored 28,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:38] Scored 29,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:40] Scored 30,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:42] Scored 31,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:44] Scored 32,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:46] Scored 33,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:49] Scored 34,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:51] Scored 35,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:53] Scored 36,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:55] Scored 37,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:25:58] Scored 38,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:00] Scored 39,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:02] Scored 40,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:04] Scored 41,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:07] Scored 42,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:09] Scored 43,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:11] Scored 44,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:13] Scored 45,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:15] Scored 46,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:18] Scored 47,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:20] Scored 48,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:22] Scored 49,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:24] Scored 50,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:27] Scored 51,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:29] Scored 52,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:31] Scored 53,000/53,424 users for f_Adult_100_pos7_neg0_sample...
[23:26:35] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/f_Adult_100_pos7_neg0_sample_15recommendation.csv (801360 rows)
[23:26:39] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/f_Adult_100_pos7_neg0_sample_25recommendation.csv (1335600 rows)
[23:26:45] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/f_Adult_100_pos7_neg0_sample_35recommendation.csv (1869840 rows)
[23:26:49] [2/53] f_Adult_200_pos7_neg0_sample — loading & training...
[23:33:29] Scored 1,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:33:31] Scored 2,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:33:33] Scored 3,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:33:35] Scored 4,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:33:37] Scored 5,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:33:39] Scored 6,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:33:41] Scored 7,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:33:43] Scored 8,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:33:45] Scored 9,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:33:47] Scored 10,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:33:49] Scored 11,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:33:51] Scored 12,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:33:53] Scored 13,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:33:55] Scored 14,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:33:57] Scored 15,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:00] Scored 16,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:02] Scored 17,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:04] Scored 18,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:06] Scored 19,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:09] Scored 20,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:11] Scored 21,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:14] Scored 22,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:16] Scored 23,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:18] Scored 24,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:21] Scored 25,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:23] Scored 26,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:25] Scored 27,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:27] Scored 28,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:30] Scored 29,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:32] Scored 30,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:35] Scored 31,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:37] Scored 32,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:40] Scored 33,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:42] Scored 34,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:44] Scored 35,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:46] Scored 36,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:49] Scored 37,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:51] Scored 38,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:53] Scored 39,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:55] Scored 40,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:34:58] Scored 41,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:35:00] Scored 42,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:35:02] Scored 43,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:35:04] Scored 44,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:35:08] Scored 45,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:35:11] Scored 46,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:35:13] Scored 47,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:35:15] Scored 48,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:35:17] Scored 49,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:35:19] Scored 50,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:35:22] Scored 51,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:35:24] Scored 52,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:35:26] Scored 53,000/53,424 users for f_Adult_200_pos7_neg0_sample...
[23:35:30] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/f_Adult_200_pos7_neg0_sample_15recommendation.csv (801360 rows)
[23:35:34] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/f_Adult_200_pos7_neg0_sample_25recommendation.csv (1335600 rows)
[23:35:40] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/f_Adult_200_pos7_neg0_sample_35recommendation.csv (1869840 rows)
[23:35:44] [3/53] f_Adult_25_pos7_neg0_sample — loading & training...
[23:42:45] Scored 1,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:42:48] Scored 2,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:42:52] Scored 3,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:42:54] Scored 4,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:42:57] Scored 5,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:42:59] Scored 6,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:01] Scored 7,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:03] Scored 8,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:06] Scored 9,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:08] Scored 10,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:10] Scored 11,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:13] Scored 12,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:15] Scored 13,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:17] Scored 14,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:19] Scored 15,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:22] Scored 16,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:24] Scored 17,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:26] Scored 18,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:29] Scored 19,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:31] Scored 20,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:33] Scored 21,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:35] Scored 22,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:38] Scored 23,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:40] Scored 24,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:42] Scored 25,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:44] Scored 26,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:47] Scored 27,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:49] Scored 28,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:51] Scored 29,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:54] Scored 30,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:56] Scored 31,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:43:58] Scored 32,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:00] Scored 33,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:03] Scored 34,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:05] Scored 35,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:07] Scored 36,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:10] Scored 37,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:12] Scored 38,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:14] Scored 39,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:16] Scored 40,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:19] Scored 41,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:21] Scored 42,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:23] Scored 43,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:26] Scored 44,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:28] Scored 45,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:30] Scored 46,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:32] Scored 47,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:35] Scored 48,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:37] Scored 49,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:39] Scored 50,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:41] Scored 51,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:44] Scored 52,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:47] Scored 53,000/53,424 users for f_Adult_25_pos7_neg0_sample...
[23:44:50] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/f_Adult_25_pos7_neg0_sample_15recommendation.csv (801360 rows)
[23:44:55] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/f_Adult_25_pos7_neg0_sample_25recommendation.csv (1335600 rows)
[23:45:01] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/f_Adult_25_pos7_neg0_sample_35recommendation.csv (1869840 rows)
[23:45:04] [4/53] f_Adult_50_pos7_neg0_sample — loading & training...
[23:52:02] Scored 1,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:04] Scored 2,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:06] Scored 3,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:10] Scored 4,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:12] Scored 5,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:15] Scored 6,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:18] Scored 7,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:20] Scored 8,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:23] Scored 9,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:25] Scored 10,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:28] Scored 11,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:31] Scored 12,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:33] Scored 13,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:35] Scored 14,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:38] Scored 15,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:40] Scored 16,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:43] Scored 17,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:45] Scored 18,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:48] Scored 19,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:50] Scored 20,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:52] Scored 21,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:54] Scored 22,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:57] Scored 23,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:52:59] Scored 24,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:02] Scored 25,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:04] Scored 26,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:07] Scored 27,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:09] Scored 28,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:11] Scored 29,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:13] Scored 30,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:16] Scored 31,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:18] Scored 32,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:20] Scored 33,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:22] Scored 34,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:25] Scored 35,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:27] Scored 36,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:29] Scored 37,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:31] Scored 38,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:33] Scored 39,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:36] Scored 40,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:38] Scored 41,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:40] Scored 42,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:42] Scored 43,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:45] Scored 44,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:47] Scored 45,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:49] Scored 46,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:52] Scored 47,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:54] Scored 48,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:56] Scored 49,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:53:58] Scored 50,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:54:01] Scored 51,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:54:03] Scored 52,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:54:05] Scored 53,000/53,424 users for f_Adult_50_pos7_neg0_sample...
[23:54:09] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/f_Adult_50_pos7_neg0_sample_15recommendation.csv (801360 rows)
[23:54:13] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/f_Adult_50_pos7_neg0_sample_25recommendation.csv (1335600 rows)
[23:54:18] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0909/SVD/f_Adult_50_pos7_neg0_sample_35recommendation.csv (1869840 rows)
[23:54:22] [5/53] f_Adventure_100_pos7_neg0_sample — loading & training...
[00:01:24] Scored 1,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:01:26] Scored 2,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:01:29] Scored 3,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:01:31] Scored 4,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:01:33] Scored 5,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:01:36] Scored 6,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:01:38] Scored 7,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:01:40] Scored 8,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:01:46] Scored 9,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:01:49] Scored 10,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:01:51] Scored 11,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:01:53] Scored 12,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:01:55] Scored 13,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:01:58] Scored 14,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:00] Scored 15,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:02] Scored 16,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:05] Scored 17,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:07] Scored 18,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:09] Scored 19,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:12] Scored 20,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:15] Scored 21,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:18] Scored 22,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:21] Scored 23,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:23] Scored 24,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:25] Scored 25,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:27] Scored 26,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:30] Scored 27,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:32] Scored 28,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:34] Scored 29,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:36] Scored 30,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:39] Scored 31,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:41] Scored 32,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:44] Scored 33,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:47] Scored 34,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:49] Scored 35,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:52] Scored 36,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:54] Scored 37,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:56] Scored 38,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:02:58] Scored 39,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:03:01] Scored 40,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:03:03] Scored 41,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:03:05] Scored 42,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:03:07] Scored 43,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:03:10] Scored 44,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:03:12] Scored 45,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:03:14] Scored 46,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:03:17] Scored 47,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
[00:03:19] Scored 48,000/53,424 users for f_Adventure_100_pos7_neg0_sample...
