nohup: ignoring input
[23:08:06] === SVD (poison-only) — NO post-fit nudge ===
[23:08:11] Original users: 53,424
[23:08:11] Training baseline SVD on ORIGINAL...
[23:23:50] Scored 9,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:23:52] Scored 10,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:23:54] Scored 11,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:23:57] Scored 12,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:23:59] Scored 13,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:01] Scored 14,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:03] Scored 15,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:05] Scored 16,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:07] Scored 17,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:10] Scored 18,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:12] Scored 19,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:14] Scored 20,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:16] Scored 21,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:18] Scored 22,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:21] Scored 23,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:23] Scored 24,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:25] Scored 25,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:27] Scored 26,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:29] Scored 27,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:32] Scored 28,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:34] Scored 29,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:36] Scored 30,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:38] Scored 31,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:40] Scored 32,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:43] Scored 33,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:45] Scored 34,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:47] Scored 35,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:49] Scored 36,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:51] Scored 37,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:54] Scored 38,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:56] Scored 39,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:24:58] Scored 40,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:25:00] Scored 41,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:25:02] Scored 42,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:25:05] Scored 43,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:25:07] Scored 44,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:25:09] Scored 45,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:25:11] Scored 46,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:25:13] Scored 47,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:25:16] Scored 48,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:25:18] Scored 49,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:25:20] Scored 50,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:25:22] Scored 51,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:25:24] Scored 52,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:25:27] Scored 53,000/53,424 users for enhanced_Adult_25_pos5_neg0_sample...
[23:25:30] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/enhanced_Adult_25_pos5_neg0_sample_15recommendation.csv (801360 rows)
[23:25:35] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/enhanced_Adult_25_pos5_neg0_sample_25recommendation.csv (1335600 rows)
[23:25:41] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/enhanced_Adult_25_pos5_neg0_sample_35recommendation.csv (1869840 rows)
[23:25:44] [2/27] enhanced_Adult_50_pos5_neg0_sample — loading & training...
[23:32:24] Scored 1,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:27] Scored 2,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:29] Scored 3,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:31] Scored 4,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:33] Scored 5,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:36] Scored 6,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:38] Scored 7,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:40] Scored 8,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:43] Scored 9,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:45] Scored 10,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:47] Scored 11,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:49] Scored 12,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:52] Scored 13,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:54] Scored 14,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:56] Scored 15,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:32:58] Scored 16,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:01] Scored 17,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:03] Scored 18,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:05] Scored 19,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:07] Scored 20,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:10] Scored 21,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:12] Scored 22,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:14] Scored 23,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:16] Scored 24,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:19] Scored 25,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:21] Scored 26,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:23] Scored 27,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:25] Scored 28,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:28] Scored 29,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:30] Scored 30,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:32] Scored 31,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:34] Scored 32,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:36] Scored 33,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:38] Scored 34,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:40] Scored 35,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:42] Scored 36,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:44] Scored 37,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:46] Scored 38,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:48] Scored 39,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:50] Scored 40,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:52] Scored 41,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:54] Scored 42,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:56] Scored 43,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:33:58] Scored 44,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:34:00] Scored 45,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:34:03] Scored 46,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:34:05] Scored 47,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:34:07] Scored 48,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:34:09] Scored 49,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:34:12] Scored 50,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:34:14] Scored 51,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:34:16] Scored 52,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:34:18] Scored 53,000/53,424 users for enhanced_Adult_50_pos5_neg0_sample...
[23:34:22] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/enhanced_Adult_50_pos5_neg0_sample_15recommendation.csv (801360 rows)
[23:34:27] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/enhanced_Adult_50_pos5_neg0_sample_25recommendation.csv (1335600 rows)
[23:34:33] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/enhanced_Adult_50_pos5_neg0_sample_35recommendation.csv (1869840 rows)
[23:34:36] [3/27] enhanced_Adventure_25_pos5_neg0_sample — loading & training...
[23:41:27] Scored 1,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:41:29] Scored 2,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:41:32] Scored 3,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:41:34] Scored 4,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:41:36] Scored 5,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:41:39] Scored 6,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:41:41] Scored 7,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:41:43] Scored 8,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:41:46] Scored 9,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:41:48] Scored 10,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:41:51] Scored 11,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:41:53] Scored 12,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:41:55] Scored 13,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:41:57] Scored 14,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:00] Scored 15,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:02] Scored 16,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:05] Scored 17,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:07] Scored 18,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:09] Scored 19,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:12] Scored 20,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:15] Scored 21,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:17] Scored 22,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:19] Scored 23,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:21] Scored 24,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:23] Scored 25,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:26] Scored 26,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:28] Scored 27,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:30] Scored 28,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:33] Scored 29,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:35] Scored 30,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:37] Scored 31,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:40] Scored 32,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:42] Scored 33,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:45] Scored 34,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:48] Scored 35,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:52] Scored 36,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:54] Scored 37,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:56] Scored 38,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:42:59] Scored 39,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:01] Scored 40,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:03] Scored 41,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:05] Scored 42,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:08] Scored 43,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:10] Scored 44,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:12] Scored 45,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:14] Scored 46,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:17] Scored 47,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:19] Scored 48,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:21] Scored 49,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:23] Scored 50,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:26] Scored 51,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:28] Scored 52,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:30] Scored 53,000/53,424 users for enhanced_Adventure_25_pos5_neg0_sample...
[23:43:34] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/enhanced_Adventure_25_pos5_neg0_sample_15recommendation.csv (801360 rows)
[23:43:38] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/enhanced_Adventure_25_pos5_neg0_sample_25recommendation.csv (1335600 rows)
[23:43:45] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/enhanced_Adventure_25_pos5_neg0_sample_35recommendation.csv (1869840 rows)
[23:43:49] [4/27] enhanced_Adventure_50_pos5_neg0_sample — loading & training...
[23:50:48] Scored 1,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:50:50] Scored 2,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:50:53] Scored 3,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:50:55] Scored 4,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:50:58] Scored 5,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:00] Scored 6,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:02] Scored 7,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:05] Scored 8,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:07] Scored 9,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:10] Scored 10,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:12] Scored 11,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:14] Scored 12,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:17] Scored 13,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:19] Scored 14,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:21] Scored 15,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:23] Scored 16,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:26] Scored 17,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:29] Scored 18,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:31] Scored 19,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:33] Scored 20,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:35] Scored 21,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:38] Scored 22,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:41] Scored 23,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:43] Scored 24,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:45] Scored 25,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:47] Scored 26,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:49] Scored 27,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:52] Scored 28,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:54] Scored 29,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:56] Scored 30,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:51:58] Scored 31,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:02] Scored 32,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:04] Scored 33,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:06] Scored 34,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:10] Scored 35,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:12] Scored 36,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:14] Scored 37,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:18] Scored 38,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:20] Scored 39,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:22] Scored 40,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:24] Scored 41,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:27] Scored 42,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:30] Scored 43,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:32] Scored 44,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:34] Scored 45,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:37] Scored 46,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:39] Scored 47,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:42] Scored 48,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:44] Scored 49,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:46] Scored 50,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:49] Scored 51,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:51] Scored 52,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:53] Scored 53,000/53,424 users for enhanced_Adventure_50_pos5_neg0_sample...
[23:52:57] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/enhanced_Adventure_50_pos5_neg0_sample_15recommendation.csv (801360 rows)
[23:53:02] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/enhanced_Adventure_50_pos5_neg0_sample_25recommendation.csv (1335600 rows)
[23:53:08] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0902/SVD/enhanced_Adventure_50_pos5_neg0_sample_35recommendation.csv (1869840 rows)
[23:53:13] [5/27] enhanced_Children_s_25_pos5_neg0_sample — loading & training...
[00:00:02] Scored 1,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:04] Scored 2,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:06] Scored 3,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:09] Scored 4,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:11] Scored 5,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:14] Scored 6,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:16] Scored 7,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:19] Scored 8,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:21] Scored 9,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:23] Scored 10,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:25] Scored 11,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:28] Scored 12,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:30] Scored 13,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:32] Scored 14,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:34] Scored 15,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:37] Scored 16,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:39] Scored 17,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:42] Scored 18,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:45] Scored 19,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:47] Scored 20,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:49] Scored 21,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:51] Scored 22,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:54] Scored 23,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:56] Scored 24,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:00:58] Scored 25,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:01:01] Scored 26,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
[00:01:03] Scored 27,000/53,424 users for enhanced_Children_s_25_pos5_neg0_sample...
